State,Barack Obama,Mitt Romney,
Alabama (100% reported),38,61,in %
Alaska (99% reported),42,55,in %
Arizona (100% reported),44,54,in %
Arkansas (98% reported),37,61,in %
California (100% reported),59,39,in %
Colorado (100% reported),51,47,in %
Connecticut (100% reported),58,40,in %
Delaware (100% reported),59,40,in %
District of Columbia (100% reported),91,7,in %
Florida (99% reported),50,49,in %
Georgia (100% reported),45,53,in %
Hawaii (100% reported),71,28,in %
Idaho (100% reported),33,65,in %
Illinois (99% reported),57,41,in %
Indiana (99% reported),44,54,in %
Iowa (100% reported),52,47,in %
Kansas (100% reported),38,60,in %
Kentucky (100% reported),38,61,in %
Louisiana (100% reported),41,58,in %
Maine (98% reported),56,41,in %
Maryland (99% reported),62,37,in %
Massachusetts (99% reported),61,38,in %
Michigan (100% reported),54,45,in %
Minnesota (100% reported),53,45,in %
Mississippi (99% reported),44,55,in %
Missouri (100% reported),44,56,in %
Montana (94% reported),42,55,in %
Nebraska (100% reported),38,61,in %
Nevada (100% reported),52,46,in %
New Hampshire (100% reported),52,46,in %
New Jersey (99% reported),58,41,in %
New Mexico (100% reported),53,43,in %
New York (98% reported),63,36,in %
North Carolina (100% reported),48,51,in %
North Dakota (100% reported),39,59,in %
Ohio (100% reported),50,48,in %
Oklahoma (100% reported),33,67,in %
Oregon (96% reported),55,43,in %
Pennsylvania (99% reported),52,47,in %
Rhode Island (99% reported),63,36,in %
South Carolina (100% reported),44,55,in %
South Dakota (100% reported),40,58,in %
Tennessee (99% reported),39,60,in %
Texas (100% reported),41,57,in %
Utah (100% reported),25,73,in %
Vermont (100% reported),67,31,in %
Virginia (99% reported),51,48,in %
Washington (87% reported),56,42,in %
West Virginia (100% reported),36,62,in %
Wisconsin (99% reported),53,46,in %
Wyoming (100% reported),28,69,in %
