State,Hillary Clinton,Donald Trump,
Alabama,34.7,62.7,in %
Alaska,37.6,52.8,in %
Arizona,45.5,49,in %
Arkansas,33.7,60.6,in %
California,62.3,31.9,in %
Colorado,48.2,43.3,in %
Connecticut,54.7,41,in %
Delaware,53.4,41.9,in %
District of Columbia,92.8,4.2,in %
Florida,47.8,49,in %
Georgia,45.9,51,in %
Hawaii,62.2,30,in %
Idaho,27.5,59.3,in %
Illinois,56,38.9,in %
Indiana,37.9,57.2,in %
Iowa,42.2,51.7,in %
Kansas,36.3,57,in %
Kentucky,32.7,62.5,in %
Louisiana,38.4,58.1,in %
Maine,48,45,in %
Maryland,61.3,34.5,in %
Massachusetts,61,33.3,in %
Michigan,47.4,47.6,in %
Minnesota,46.9,45.3,in %
Mississippi,40.1,57.9,in %
Missouri,38.2,56.9,in %
Montana,35.9,56.5,in %
Nebraska,34.4,59.9,in %
Nevada,47.9,45.5,in %
New Hampshire,47.6,47.2,in %
New Jersey,55.5,41.4,in %
New Mexico,48.3,40,in %
New York,59.5,36.8,in %
North Carolina,46.8,50.5,in %
North Dakota,27.7,64.1,in %
Ohio,43.7,51.8,in %
Oklahoma,28.9,65.3,in %
Oregon,52,40.6,in %
Pennsylvania,47.9,48.6,in %
Rhode Island,55.5,39.7,in %
South Carolina,40.7,54.9,in %
South Dakota,31.7,61.5,in %
Tennessee,34.9,61.1,in %
Texas,43.5,52.5,in %
Utah,27.5,45.5,in %
Vermont,61.1,32.6,in %
Virginia,50.2,44.8,in %
Washington,54.3,38.1,in %
West Virginia,26.5,68.6,in %
Wisconsin,47,47.8,in %
Wyoming,22.5,70.1,in %
