State,usa_state_code,Democrat,Republican,Year,Percent_demo,Percent_rep,Democrat2004,Republican2004,Democrat2008,Republican2008,Democrat2012,Republican2012,Democrat2016,Republican2016,Democrat2020,Republican2020
Alabama,AL,636730,654192,1980,49.32,50.68,,,,,,,,,,
Alabama,AL,551899,872849,1984,38.74,61.26,,,,,,,,,,
Alabama,AL,549506,815576,1988,40.25,59.75,,,,,,,,,,
Alabama,AL,690080,804283,1992,46.18,53.82,,,,,,,,,,
Alabama,AL,662165,769044,1996,46.27,53.73,,,,,,,,,,
Alabama,AL,695602,944409,2000,42.41,57.59,693933,1176394,813479,1266546,795696,1255925,729547,1318250,849648,1441168
Alabama,AL,693933,1176394,2004,37.10,62.90,,,,,,,,,,
Alabama,AL,813479,1266546,2008,39.11,60.89,,,,,,,,,,
Alabama,AL,795696,1255925,2012,38.78,61.22,,,,,,,,,,
Alabama,AL,729547,1318250,2016,35.63,64.37,,,,,,,,,,
Alabama,AL,849648,1441168,2020,37.09,62.91,,,,,,,,,,
Arizona,AZ,246843,529688,1980,31.79,68.21,,,,,,,,,,
Arizona,AZ,333854,681416,1984,32.88,67.12,,,,,,,,,,
Arizona,AZ,454029,702541,1988,39.26,60.74,,,,,,,,,,
Arizona,AZ,543050,572086,1992,48.70,51.30,,,,,,,,,,
Arizona,AZ,653288,622073,1996,51.22,48.78,,,,,,,,,,
Arizona,AZ,685341,781652,2000,46.72,53.28,893524,1104294,1034707,1230111,1025232,1233654,1161167,1252401,1672143,1661686
Arizona,AZ,893524,1104294,2004,44.72,55.28,,,,,,,,,,
Arizona,AZ,1034707,1230111,2008,45.69,54.31,,,,,,,,,,
Arizona,AZ,1025232,1233654,2012,45.39,54.61,,,,,,,,,,
Arizona,AZ,1161167,1252401,2016,48.11,51.89,,,,,,,,,,
Arizona,AZ,1672143,1661686,2020,50.16,49.84,,,,,,,,,,
Arkansas,AR,398041,403164,1980,49.68,50.32,,,,,,,,,,
Arkansas,AR,338646,534774,1984,38.77,61.23,,,,,,,,,,
Arkansas,AR,349237,466578,1988,42.81,57.19,,,,,,,,,,
Arkansas,AR,505823,337324,1992,59.99,40.01,,,,,,,,,,
Arkansas,AR,475171,325416,1996,59.35,40.65,,,,,,,,,,
Arkansas,AR,422768,472940,2000,47.20,52.80,468631,572770,422310,638017,394409,647744,380494,684872,423932,760647
Arkansas,AR,468631,572770,2004,45.00,55.00,,,,,,,,,,
Arkansas,AR,422310,638017,2008,39.83,60.17,,,,,,,,,,
Arkansas,AR,394409,647744,2012,37.85,62.15,,,,,,,,,,
Arkansas,AR,380494,684872,2016,35.71,64.29,,,,,,,,,,
Arkansas,AR,423932,760647,2020,35.79,64.21,,,,,,,,,,
California,CA,3083661,4524858,1980,40.53,59.47,,,,,,,,,,
California,CA,3922519,5467009,1984,41.78,58.22,,,,,,,,,,
California,CA,4702233,5054917,1988,48.19,51.81,,,,,,,,,,
California,CA,5121325,3630574,1992,58.52,41.48,,,,,,,,,,
California,CA,5119835,3828380,1996,57.22,42.78,,,,,,,,,,
California,CA,5861203,4567429,2000,56.20,43.80,6737355,5501496,8274473,5011781,7854285,4839958,8753788,4483810,11109764,6005961
California,CA,6737355,5501496,2004,55.05,44.95,,,,,,,,,,
California,CA,8274473,5011781,2008,62.28,37.72,,,,,,,,,,
California,CA,7854285,4839958,2012,61.87,38.13,,,,,,,,,,
California,CA,8753788,4483810,2016,66.13,33.87,,,,,,,,,,
California,CA,11109764,6005961,2020,64.91,35.09,,,,,,,,,,
Colorado,CO,367973,652264,1980,36.07,63.93,,,,,,,,,,
Colorado,CO,454974,821818,1984,35.63,64.37,,,,,,,,,,
Colorado,CO,621453,728177,1988,46.05,53.95,,,,,,,,,,
Colorado,CO,1323101,562850,1992,70.16,29.84,,,,,,,,,,
Colorado,CO,671152,691848,1996,49.24,50.76,,,,,,,,,,
Colorado,CO,738227,883745,2000,45.51,54.49,1001732,1101255,1288576,1073589,1322998,1185050,1338870,1202484,1804352,1364607
Colorado,CO,1001732,1101255,2004,47.63,52.37,,,,,,,,,,
Colorado,CO,1288576,1073589,2008,54.55,45.45,,,,,,,,,,
Colorado,CO,1322998,1185050,2012,52.75,47.25,,,,,,,,,,
Colorado,CO,1338870,1202484,2016,52.68,47.32,,,,,,,,,,
Colorado,CO,1804352,1364607,2020,56.94,43.06,,,,,,,,,,
Connecticut,CT,541732,677210,1980,44.44,55.56,,,,,,,,,,
Connecticut,CT,569597,890877,1984,39.00,61.00,,,,,,,,,,
Connecticut,CT,676584,750241,1988,47.42,52.58,,,,,,,,,,
Connecticut,CT,905083,578313,1992,61.01,38.99,,,,,,,,,,
Connecticut,CT,735740,483109,1996,60.36,39.64,,,,,,,,,,
Connecticut,CT,816015,561094,2000,59.26,40.74,857488,693826,1000291,628041,931040,654660,897572,673215,1080680,715291
Connecticut,CT,857488,693826,2004,55.27,44.73,,,,,,,,,,
Connecticut,CT,1000291,628041,2008,61.43,38.57,,,,,,,,,,
Connecticut,CT,931040,654660,2012,58.71,41.29,,,,,,,,,,
Connecticut,CT,897572,673215,2016,57.14,42.86,,,,,,,,,,
Connecticut,CT,1080680,715291,2020,60.17,39.83,,,,,,,,,,
Delaware,DE,105754,111252,1980,48.73,51.27,,,,,,,,,,
Delaware,DE,101656,152190,1984,40.05,59.95,,,,,,,,,,
Delaware,DE,108647,139639,1988,43.76,56.24,,,,,,,,,,
Delaware,DE,126054,102313,1992,55.20,44.80,,,,,,,,,,
Delaware,DE,140355,99062,1996,58.62,41.38,,,,,,,,,,
Delaware,DE,180068,137288,2000,56.74,43.26,200141,171651,255459,152374,242584,165484,235603,185127,296268,200603
Delaware,DE,200141,171651,2004,53.83,46.17,,,,,,,,,,
Delaware,DE,255459,152374,2008,62.64,37.36,,,,,,,,,,
Delaware,DE,242584,165484,2012,59.45,40.55,,,,,,,,,,
Delaware,DE,235603,185127,2016,56.00,44.00,,,,,,,,,,
Delaware,DE,296268,200603,2020,59.63,40.37,,,,,,,,,,
District of Columbia,DC,130231,23313,1980,84.82,15.18,,,,,,,,,,
District of Columbia,DC,180408,29009,1984,86.15,13.85,,,,,,,,,,
District of Columbia,DC,159407,27590,1988,85.25,14.75,,,,,,,,,,
District of Columbia,DC,192619,20698,1992,90.30,9.70,,,,,,,,,,
District of Columbia,DC,158220,17339,1996,90.12,9.88,,,,,,,,,,
District of Columbia,DC,171923,18073,2000,90.49,9.51,202970,21256,245800,17367,267070,21381,282830,12723,317323,18586
District of Columbia,DC,202970,21256,2004,90.52,9.48,,,,,,,,,,
District of Columbia,DC,245800,17367,2008,93.40,6.60,,,,,,,,,,
District of Columbia,DC,267070,21381,2012,92.59,7.41,,,,,,,,,,
District of Columbia,DC,282830,12723,2016,95.70,4.30,,,,,,,,,,
District of Columbia,DC,317323,18586,2020,94.47,5.53,,,,,,,,,,
